Ex(m), Ey(m), Ez(m)
1
0.03924469, 0.05908001, 0.02046299
0.05127656, 0.03848791, 0.03662014
0.1575348, 0.02198958, 0.03930187
0.4444322, 0.008181706, 0.03837967
0.9994074, 0.000765264, 0.0369854
1.855114, -0.0007773638, 0.03856373
3.018433, 0.008147895, 0.04045677
4.43468, 0.02298093, 0.03935528
6.108156, 0.03427362, 0.03759098
7.875031, 0.03489256, 0.03616333
9.761599, 0.03019142, 0.03428459
11.49001, 0.08309197, 0.03152561
13.10919, 0.3012991, 0.02862835
14.63993, 0.8141737, 0.0252533
1.433007, 0.7974339, 0.0217495
2.867808, 0.1953711, 0.01791573
4.544343, -0.1236813, 0.01342297
6.495209, -0.2253529, 0.009957314
8.561873, -0.2140759, 0.008158684
10.65231, -0.1766913, 0.00825119
12.65089, -0.1148845, 0.007482529
14.50888, 0.0512507, 0.004177094
16.20589, 0.4140333, -0.00124836
0.6057182, 0.9413394, -0.006645203
2.168896, 0.3086533, -0.009501457
3.850212, -0.05674386, -0.01106358
5.644662, -0.1948607, -0.01259518
7.548274, -0.20047, -0.01218224
9.471406, -0.1684003, -0.009902
11.38598, -0.09714794, -0.008629799
13.19931, 0.12078, -0.008810043
14.85751, 0.6046629, -0.01206207
1.083244, 0.9270151, -0.01475525
2.62058, 0.2463418, -0.01490021
4.308634, -0.107169, -0.01534748
6.122076, -0.2213485, -0.01560211
7.999074, -0.2206597, -0.01416969
9.870011, -0.1916842, -0.01159477
11.72686, -0.09904242, -0.01012421
13.49197, 0.1542044, -0.01107407
15.08451, 0.6435733, -0.01286125
1.145331, 0.8298645, -0.01519871
2.742082, 0.1897887, -0.01711559
4.48493, -0.1493548, -0.01807213
6.385476, -0.2707971, -0.01707649
8.409851, -0.2806622, -0.01480007
10.42984, -0.2532716, -0.01119232
12.34653, -0.2073601, -0.008927345
14.15386, -0.1570268, -0.007310867
15.61044, -0.1106436, -0.005092621
16.73217, -0.07005835, -0.003925323
17.53421, -0.04047561, -0.003014565
18.00867, -0.01799405, -0.003977776
18.19697, -0.007418871, -0.00508213
18.20515, -0.005607724, -0.005972862
2
-0.01733901, 0.03623065, -0.0004453659
0.002490056, 0.01988197, 0.0138464
0.08954429, 0.001940653, 0.01574421
0.3000829, -0.01492686, 0.0157423
0.7391845, -0.02870388, 0.01622486
1.428508, -0.03565258, 0.01718521
2.414741, -0.03655934, 0.01716614
3.674749, -0.03025925, 0.01686001
5.1937, -0.01706171, 0.015481
6.875945, -0.009072304, 0.01466846
8.666417, -0.008469582, 0.01483631
10.49063, 0.005813599, 0.01497078
12.19988, 0.1248605, 0.01568699
13.84273, 0.4787898, 0.01535416
15.27852, 1.126611, 0.01294422
2.100152, 0.4527745, 0.01002502
3.660555, -0.005381048, 0.007562637
5.431056, -0.1857023, 0.006509781
7.325059, -0.203038, 0.006729126
9.293785, -0.1716508, 0.008414268
11.35637, -0.131061, 0.01030445
13.29856, -0.04416585, 0.0103054
15.08042, 0.1824905, 0.009163857
16.77795, 0.6485723, 0.007300377
1.167408, 0.7209913, 0.004747391
2.762507, 0.1808962, 0.003078461
4.52623, -0.1091263, 0.002544403
6.41742, -0.1956263, 0.002707481
8.368423, -0.1828628, 0.003426552
10.33873, -0.143723, 0.005210876
12.2705, -0.01211214, 0.005334854
13.94823, 0.3032846, 0.004957199
15.46231, 0.8925724, 0.00274086
1.728393, 0.5940204, 0.00045681
3.295415, 0.06372654, -0.0005283356
4.974518, -0.173351, -0.001777649
6.788039, -0.2295139, -0.001021385
8.706073, -0.2088273, 0.001167297
10.67154, -0.1606829, 0.004261971
12.49403, -0.01222563, 0.005243301
14.20795, 0.340878, 0.005013466
15.75642, 0.9580407, 0.001407623
1.899269, 0.4840843, -0.0005187988
3.535814, -0.001560181, -0.001912117
5.350175, -0.2275402, -0.00461483
7.27063, -0.283407, -0.006162643
9.304151, -0.2733665, -0.006896019
11.31851, -0.2389062, -0.006110191
13.18548, -0.1913173, -0.004307747
14.84862, -0.1434416, -0.00181675
16.19997, -0.0996145, -0.0004520416
17.20525, -0.06313157, -0.0003452301
17.85661, -0.03875089, -0.001887321
18.15919, -0.02393878, -0.00318718
18.2286, -0.01672733, -0.003641129
3
-0.008727673, 0.0316535, 0.005605698
0.02059794, 0.01984099, 0.01771736
0.1353611, 0.009858329, 0.01850986
0.41528, -0.003002077, 0.01791286
0.9354376, -0.02072909, 0.01871967
1.730929, -0.03604338, 0.02028275
2.849902, -0.03900957, 0.0222044
4.251161, -0.03085876, 0.02167511
5.932356, -0.01979291, 0.02016163
7.682554, -0.01340294, 0.0197258
9.485865, -0.008106947, 0.02038765
11.25108, 0.04042554, 0.02177238
12.93423, 0.2402248, 0.02051449
14.48154, 0.7005172, 0.01907921
1.196742, 0.912432, 0.01723957
2.61368, 0.2558934, 0.01494694
4.301225, -0.1053019, 0.01288891
6.126414, -0.210252, 0.01157188
8.096292, -0.1943545, 0.01138115
10.07906, -0.1554065, 0.01148605
12.06207, -0.1065415, 0.01159382
13.99139, 0.02384651, 0.01216793
15.77747, 0.3426919, 0.01156998
17.38506, 0.9013712, 0.009565353
1.756379, 0.4929798, 0.009028435
3.423771, 0.04282272, 0.008897781
5.245659, -0.1571896, 0.008728981
7.108648, -0.1907706, 0.008282661
8.991216, -0.1683588, 0.007996559
10.86181, -0.1205654, 0.008420944
12.63743, 0.03342819, 0.007854462
